beneficiary_id,district,programme_code,cause,cohort_band,is_synthetic,batch_id
BEN-021636,Maradi,AID-2026-ED-512,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005134,Maradi,AID-2026-SH-455,food and agriculture,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020168,Balrampur,AID-2026-HL-330,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-002879,Balrampur,AID-2026-HL-330,food and agriculture,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-021459,Balrampur,AID-2026-FS-207,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020073,Balrampur,AID-2026-FS-207,youth development,group,TRUE,SYNTH_ADVERSARY_V1
BEN-014783,Balrampur,AID-2026-ED-512,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-023079,Balrampur,AID-2026-SH-455,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-012706,Balrampur,AID-2026-HL-330,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-017773,Balrampur,AID-2026-DR-114,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-022562,Balrampur,AID-2026-FS-207,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013878,Balrampur,AID-2026-ED-512,human services,group,TRUE,SYNTH_ADVERSARY_V1
BEN-022148,Balrampur,AID-2026-DR-114,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-014569,Balrampur,AID-2026-ED-512,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-021590,Maradi,AID-2026-DR-114,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-022910,Maradi,AID-2026-SH-455,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-010366,Maradi,AID-2026-ED-512,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024060,Maradi,AID-2026-WS-618,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-000775,Maradi,AID-2026-ED-512,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006825,Maradi,AID-2026-WS-618,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-010671,Maradi,AID-2026-FS-207,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-012499,Kassala,AID-2026-FS-207,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020935,Kassala,AID-2026-DR-114,food and agriculture,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020848,Kassala,AID-2026-WS-618,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-013313,Kassala,AID-2026-WS-618,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020986,Kassala,AID-2026-WS-618,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-003993,Kassala,AID-2026-ED-512,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024989,Kassala,AID-2026-ED-512,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-008638,Kassala,AID-2026-SH-455,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007793,Balrampur,AID-2026-ED-512,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-008321,Balrampur,AID-2026-SH-455,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024043,Maradi,AID-2026-ED-512,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019438,Balrampur,AID-2026-DR-114,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-006211,Balrampur,AID-2026-SH-455,education,group,TRUE,SYNTH_ADVERSARY_V1
BEN-004244,Balrampur,AID-2026-SH-455,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-009678,Balrampur,AID-2026-DR-114,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009986,Balrampur,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-000540,Balrampur,AID-2026-HL-330,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006059,Balrampur,AID-2026-SH-455,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-023102,Chitrakoot,AID-2026-SH-455,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-007182,Chitrakoot,AID-2026-ED-512,environment,group,TRUE,SYNTH_ADVERSARY_V1
BEN-015186,Chitrakoot,AID-2026-FS-207,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-012116,Chitrakoot,AID-2026-HL-330,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007610,Chitrakoot,AID-2026-HL-330,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-007256,Chitrakoot,AID-2026-SH-455,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020409,Chitrakoot,AID-2026-HL-330,human services,group,TRUE,SYNTH_ADVERSARY_V1
BEN-020172,Chitrakoot,AID-2026-HL-330,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024261,Chitrakoot,AID-2026-WS-618,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020623,Chitrakoot,AID-2026-SH-455,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005556,Chitrakoot,AID-2026-WS-618,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-023186,Chitrakoot,AID-2026-ED-512,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-012005,Chitrakoot,AID-2026-FS-207,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-022876,Chitrakoot,AID-2026-SH-455,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-012256,Barabanki,AID-2026-HL-330,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-005531,Barabanki,AID-2026-ED-512,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013921,Barabanki,AID-2026-SH-455,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024639,Barabanki,AID-2026-WS-618,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006905,Barabanki,AID-2026-HL-330,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-023733,Cox's Bazar,AID-2026-FS-207,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-015893,Barabanki,AID-2026-HL-330,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024379,Barabanki,AID-2026-DR-114,civil rights,group,TRUE,SYNTH_ADVERSARY_V1
BEN-016175,Barabanki,AID-2026-SH-455,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016539,Barabanki,AID-2026-WS-618,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-008751,Barabanki,AID-2026-SH-455,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-000109,Barabanki,AID-2026-FS-207,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009941,Barabanki,AID-2026-HL-330,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-021068,Barabanki,AID-2026-HL-330,medical,group,TRUE,SYNTH_ADVERSARY_V1
BEN-012353,Sitapur,AID-2026-DR-114,international development,group,TRUE,SYNTH_ADVERSARY_V1
BEN-013616,Sitapur,AID-2026-HL-330,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-025860,Sitapur,AID-2026-SH-455,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-021557,Sitapur,AID-2026-HL-330,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-004356,Sitapur,AID-2026-SH-455,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007081,Sitapur,AID-2026-SH-455,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006716,Sitapur,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024880,Sitapur,AID-2026-DR-114,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-014141,Diffa,AID-2026-DR-114,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-018857,Diffa,AID-2026-WS-618,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013651,Diffa,AID-2026-SH-455,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009990,Diffa,AID-2026-DR-114,medical,group,TRUE,SYNTH_ADVERSARY_V1
BEN-012306,Diffa,AID-2026-WS-618,food and agriculture,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-019422,Diffa,AID-2026-WS-618,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024407,Diffa,AID-2026-WS-618,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-022537,Diffa,AID-2026-DR-114,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-000583,Diffa,AID-2026-DR-114,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007723,Diffa,AID-2026-SH-455,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006907,Kassala,AID-2026-ED-512,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-021679,Kassala,AID-2026-DR-114,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-012140,Kassala,AID-2026-FS-207,youth development,group,TRUE,SYNTH_ADVERSARY_V1
BEN-018326,Kassala,AID-2026-SH-455,medical,group,TRUE,SYNTH_ADVERSARY_V1
BEN-007467,Kassala,AID-2026-HL-330,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009835,Kassala,AID-2026-HL-330,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-010119,Kassala,AID-2026-DR-114,disaster relief,group,TRUE,SYNTH_ADVERSARY_V1
BEN-018375,Kassala,AID-2026-FS-207,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-023301,Kassala,AID-2026-WS-618,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020557,Kassala,AID-2026-HL-330,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020224,Cox's Bazar,AID-2026-WS-618,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-004469,Cox's Bazar,AID-2026-WS-618,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-017753,Cox's Bazar,AID-2026-DR-114,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016672,Cox's Bazar,AID-2026-WS-618,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007349,Cox's Bazar,AID-2026-HL-330,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-005194,Cox's Bazar,AID-2026-HL-330,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009007,Cox's Bazar,AID-2026-FS-207,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-017455,Cox's Bazar,AID-2026-DR-114,disaster relief,group,TRUE,SYNTH_ADVERSARY_V1
BEN-001024,Cox's Bazar,AID-2026-WS-618,human services,group,TRUE,SYNTH_ADVERSARY_V1
BEN-002497,Cox's Bazar,AID-2026-FS-207,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-006251,Cox's Bazar,AID-2026-ED-512,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-015274,Maradi,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005064,Maradi,AID-2026-ED-512,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005302,Maradi,AID-2026-DR-114,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024791,Maradi,AID-2026-HL-330,disaster relief,group,TRUE,SYNTH_ADVERSARY_V1
BEN-009134,Maradi,AID-2026-HL-330,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-004300,Maradi,AID-2026-HL-330,environment,group,TRUE,SYNTH_ADVERSARY_V1
BEN-002838,Maradi,AID-2026-HL-330,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016847,Maradi,AID-2026-HL-330,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-002407,Cox's Bazar,AID-2026-FS-207,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005151,Cox's Bazar,AID-2026-SH-455,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-022447,Cox's Bazar,AID-2026-DR-114,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-025752,Cox's Bazar,AID-2026-WS-618,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-016814,Cox's Bazar,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-014892,Cox's Bazar,AID-2026-DR-114,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006504,Cox's Bazar,AID-2026-HL-330,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-002242,Cox's Bazar,AID-2026-HL-330,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020703,Chitrakoot,AID-2026-ED-512,disaster relief,group,TRUE,SYNTH_ADVERSARY_V1
BEN-020560,Chitrakoot,AID-2026-WS-618,food and agriculture,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-018477,Chitrakoot,AID-2026-SH-455,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-014905,Chitrakoot,AID-2026-DR-114,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-005446,Chitrakoot,AID-2026-HL-330,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-021745,Chitrakoot,AID-2026-SH-455,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006898,Chitrakoot,AID-2026-ED-512,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-009948,Chitrakoot,AID-2026-WS-618,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-007696,Chitrakoot,AID-2026-WS-618,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019531,Gaza North,AID-2026-DR-114,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-024810,Gaza North,AID-2026-SH-455,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-014009,Gaza North,AID-2026-SH-455,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-003289,Gaza North,AID-2026-FS-207,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-000340,Gaza North,AID-2026-DR-114,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-025801,Gaza North,AID-2026-HL-330,food and agriculture,group,TRUE,SYNTH_ADVERSARY_V1
BEN-015298,Gaza North,AID-2026-WS-618,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-011068,Kutupalong,AID-2026-DR-114,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-021124,Kutupalong,AID-2026-ED-512,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024058,Kutupalong,AID-2026-ED-512,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006026,El Obeid,AID-2026-HL-330,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-011454,Kutupalong,AID-2026-SH-455,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-018921,Kutupalong,AID-2026-SH-455,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-004348,Kutupalong,AID-2026-HL-330,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-018195,Kutupalong,AID-2026-ED-512,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-010215,Kutupalong,AID-2026-FS-207,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-005437,Kutupalong,AID-2026-ED-512,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-007330,Kutupalong,AID-2026-WS-618,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-012967,Nyala,AID-2026-WS-618,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-017998,Nyala,AID-2026-SH-455,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-014847,Nyala,AID-2026-SH-455,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-006913,Nyala,AID-2026-HL-330,international development,group,TRUE,SYNTH_ADVERSARY_V1
BEN-001803,Nyala,AID-2026-ED-512,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-000989,Nyala,AID-2026-DR-114,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-003104,Nyala,AID-2026-ED-512,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019990,Nyala,AID-2026-ED-512,medical,group,TRUE,SYNTH_ADVERSARY_V1
BEN-012016,Nyala,AID-2026-WS-618,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-009193,Nyala,AID-2026-FS-207,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005067,Nyala,AID-2026-FS-207,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020767,Nyala,AID-2026-ED-512,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-006170,Nyala,AID-2026-ED-512,housing,household,TRUE,SYNTH_ADVERSARY_V1
