EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010409944,MODERN WOODMEN OF AMERICA,% LUANNE COFFIN,1701 1ST AVE,ROCK ISLAND,IL,61201-8724,1519,08,9,1000,000000,1,00,211902602,5,01,202512,0,0,02,0,12,0,0,0,,14035
010414466,SMITH COVE PRESERVATION TRUST,% NANCY S LENHART,8223 BRECKSVILLE RD STE 100,BRECKSVILLE,OH,44141-1361,0000,03,3,1000,198806,1,04,350000000,1,01,202512,3,1,00,1,12,59381,1,,,
010437580,STEEL FABRICATORS OF NEW ENGLAND,% DRUMMOND WOODSUM PLIMPTON &,130 E RANDOLPH ST STE 2000,CHICAGO,IL,60601-6204,0000,06,3,3000,198902,2,00,200000000,1,01,202512,4,4,01,0,12,194501,189706,136549,U99Z,EDWARD F FEIBEL
010438881,SHADY NOOK IMPROVEMENT ASSOCIATION INC,,629 W ELM ST,WHEATON,IL,60189-6352,0000,04,3,1000,199111,2,00,318379000,1,01,202412,5,4,01,0,12,628382,343388,107728,,
010441158,JOHN L HAWKES SCHOLARSHIP FUND,% KEYBANK NATL ASSOC,4900 TIEDEMAN ROAD OH-01-49-0381,BROOKLYN,OH,44144-2338,0000,03,3,1000,198902,1,04,040000000,2,01,202507,6,3,00,1,07,1389644,87262,,,
010442447,STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,% RISK MANAGEMENT SECTION,547 S 7TH ST SUITE 184,BISMARCK,ND,58504-5859,0000,03,3,1000,199901,1,16,998000000,5,01,202512,4,4,01,0,12,344731,378744,378744,W03,
010466768,AMERICAN UNIVERSITY IN BULGARIA,,910 17TH ST NW STE 1100,WASHINGTON,DC,20006-2619,0000,03,3,2000,199209,1,11,030000000,1,01,202506,9,8,01,0,06,76617000,33062000,33062000,Q300,
010471151,REGULATORY ASSISTANCE PROJECT,% FREDERICK W WESTON II DIRECTOR,1100 13TH ST NE SUITE 800,WASHINGTON,DC,20005-0000,0000,03,3,1000,199208,1,15,149000000,1,01,202412,8,8,01,0,12,10783369,10015374,10015374,C40Z,
010472700,INTERNATIONAL UNION SECURITY POLICE FIRE PROFESSIONALS OF AMERICA,% DONALD EAGLE INTL TREASURER,25510 KELLY RD,ROSEVILLE,MI,48066-4932,1069,05,9,3000,194912,0,00,263264279,5,01,202503,0,0,02,0,03,0,0,0,,550 LOCAL SPFPA
010475488,NATIONAL ASSOCIATION OF EDUCATIONAL PROCUREMENT,% BILL ALDERSON,8840 STANFORD BLVD STE 2000,COLUMBIA,MD,21045-5848,3700,03,9,1000,199403,1,16,000000000,1,01,,0,0,01,0,12,,,,B50Z,NEW ENGLAND
010477310,CHRISTIAN MISSION SERVICES,% CHRIS BRADY,200 COMMONWEALTH CT,CARY,NC,27511-2431,0000,03,3,1700,199408,1,15,602007000,1,01,202512,2,3,01,0,12,11153,78464,78464,,
010477639,ELEVANCE HEALTH RETIREE VEBA TR,% SARA SCHLUGE,220 VIRGINIA AVE,INDIANAPOLIS,IN,46204-3709,0000,09,3,1000,199308,2,00,264265000,2,01,202412,9,8,01,0,12,316837689,20230634,651970,,WEBSTER WAYNE R TTEE
010477749,VOLUNTEERS OF AMERICA INC,,1660 DUKE STREET,ALEXANDRIA,VA,22314-3473,1736,03,9,7000,196505,1,10,000000000,5,01,202506,6,5,01,0,06,3757962,678074,678074,,PORTLAND VOA ELDERLY HOUSING INC
010488045,AIR FORCE SERGEANTS ASSOCIATION,% AFSA A&F,PO BOX 50,TEMPLE HILLS,MD,20757-0050,1758,19,9,1000,196511,2,00,907908000,5,01,,0,0,02,0,12,,,,,0151 CHAPTER
010490759,P A T T,% RANDI BAUN,700 PENNSYLVANIA AVE SE STE 200,WASHINGTON,DC,20003-2493,0000,03,3,1000,199510,1,15,123000000,1,01,202312,0,0,02,0,12,0,0,0,M014,PARENTS AGAINST TIRED TRUCKERS
010492125,ALLIANCE OF INDEPENDENT ACADEMIC MEDICAL CENTERS,% F STEPHEN LARNED MD,PO BOX 35756,CANTON,OH,44735-5756,0000,03,3,2000,200004,1,16,000000000,1,01,202512,4,4,01,0,12,137832,460298,460298,H05,
010494386,INSTITUTE OF MARITIME HISTORY,% DAVID P HOWE,PO BOX 108,TALL TIMBERS,MD,20690-0108,0000,03,3,1000,199510,1,15,994119000,1,01,202512,0,0,02,0,12,0,0,0,A80,
010495814,WETLANDS FOUNDATION,% NANCY S LENHART,8223 BRECKSVILLE RD STE 100,BRECKSVILLE,OH,44141-1361,0000,03,3,1000,199506,1,03,350000000,1,01,202512,5,4,00,1,12,754554,165000,,C30Z,
010518008,EDUCATIONAL PARTNERS INTERNATIONAL,% ANN WILLIS,151 PRESTWOOD LN,MOORESVILLE,NC,28117-7516,0000,03,3,1200,199812,1,15,995149000,1,01,202512,0,0,02,0,12,0,0,0,B99,EPI
010518429,ATLANTIC RESIDENTIAL RESOURCE,% ALAN J PETHICK,PO BOX 32,BEAUFORT,SC,29901-0032,0000,03,3,1000,199902,1,04,000000000,1,01,202412,6,4,00,1,12,1013190,142700,,P20,
010520871,RETIREE MEDICAL AND LIFE INSURANCE PLAN FOR FORMER CONSUMERS AND AMER,% BRADLEY PALMER,762 W LANCASTER AVE,BRYN MAWR,PA,19010-3402,0000,09,3,1000,199811,2,00,265000000,2,01,202412,7,6,01,0,12,7076190,3691066,1217301,,
010525386,BLUE KNIGHTS,,PO BOX 12462,GRAND FORKS,ND,58208-2462,0000,10,3,1000,201301,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,Y42,NDI
010547598,ZETA TAU ALPHA FRATERNITY,% SANDRA DUNHAM,1036 S RANGELINE RD,CARMEL,IN,46032-2544,0406,07,9,1000,194105,2,00,000000000,5,01,,0,0,02,0,07,,,,,MAINE
010547837,PHI BETA KAPPA SOCIETY,% MAINE ASSOCIATION - PBK SOCIETY,1606 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,202507,0,0,02,0,07,0,0,0,,MAINE ASSOCIATION
010547918,MAIN STREET MOBILE TREATMENT ASSOCIATES INC,% PAMALA RYAN,817 STABLE MANOR RD,REISTERSTOWN,MD,21136-6465,0000,03,3,1000,200208,1,16,000000000,1,01,202506,4,6,01,0,06,274332,2098432,2098432,F70,
010547931,LUPIENT FOUNDATION,% RONALD F PIPPEN,7100 WAYZATA BLVD 200,MINNEAPOLIS,MN,55426-1616,0000,03,3,1000,200206,1,04,000000000,1,01,202412,1,1,00,1,12,478,1390,,T22,
010548049,WILLIAM & JEANNE WALSH SCHOLARSHIP FUND INC,% COLLEEN WALSH,1900 HAMILTON ST UNIT C11,PHILADELPHIA,PA,19130-4074,0000,03,3,1200,200302,1,04,000000000,1,01,202603,3,2,00,1,03,90479,24062,,B82,
010548389,ST LOUIS PARK FOOTBALL ASSOCIATION,% BRYAN OLSON,3700 MONTEREY DR,ST LOUIS PARK,MN,55416-4902,0000,03,3,1000,202209,1,16,000000000,5,01,202512,0,0,02,0,12,0,0,0,N65,
010548529,UNITED HANGARS INC,% DAVID RECH,2561 CRESTLINE DR,WHITE BEAR LK,MN,55110-5604,0000,07,3,1000,200204,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,N50,
010548657,KUEHNER BROTHERS FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200303,1,04,000000000,1,01,202512,5,4,00,1,12,622032,237334,,T20,
010548984,MCMURRAY CHARTIERS CREEK COMMUNITY,,237 SLEEPY HOLLOW RD,PITTSBURGH,PA,15216-1713,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010549002,FAIRFIELD CHILD DEVELOPMENT CENTER,% MARILYN ANDERSON,140 DONALD DR,FAIRFIELD,OH,45014-3005,0000,03,3,1200,200206,1,11,000000000,1,01,202306,4,4,01,0,06,314101,260438,250593,B21,
010549023,THE PHARMACEUTICAL SECURITY INSTITUTE INC,% HUGHES HUBBARD RESNICK,526 KING STREET,ALEXANDRIA,VA,22314-3143,0000,06,3,2000,200210,2,00,000000000,1,01,202412,6,6,01,0,12,3131371,1937732,1915171,E03,
010549451,LITTLE LEAGUE BASEBALL INC,% JOHN SHUFFLEBARGER,100 CAMERON ST,CRAB ORCHARD,WV,25827-9436,3158,03,9,1000,196701,1,15,321059000,1,01,202509,2,4,02,0,09,17462,102133,0,N63,3480414 SOPHIA LL
010549919,TIME OF GRACE MINISTRIES,% MIGUEL A ROMERO,501 ROSEMERE AVE,SILVER SPRING,MD,20904-3020,0000,03,3,7000,200406,1,10,000000000,1,01,202412,7,6,06,0,12,5045077,1258914,1258914,X21,
010549978,THE PLAN MINISTRIES INC,% CARNAL BRADLEY PASTOR,5611 LANIER AVE,SUITLAND,MD,20746-6216,0000,03,3,1000,200207,1,10,000000000,1,01,,1,2,06,0,12,,,,X20,
010550223,ASSOCIATION OF FORENSIC QUALITY ASSURANCE MANAGERS,% ALEXIS BROWN,8401 MAYLAND DR STE S,RICHMOND,VA,23294-4648,0000,03,3,1000,200501,1,16,000000000,1,01,202512,4,4,01,0,12,136237,158441,158441,S41,
010550386,SHOREFRONT,% LAURICE BELL,2214 RIDGE AVE,EVANSTON,IL,60201-2710,0000,03,3,2000,200206,1,15,000000000,1,01,202412,5,5,01,0,12,905964,925116,925116,A23,
010550458,STOCKDALE VOLUNTEER FIRE DEPARTMENT,% THOMAS J WILKINSON,PO BOX 394,STOCKDALE,PA,15483-0394,0000,03,3,1000,202102,1,16,000000000,1,01,202412,6,4,01,0,12,1407735,363790,288142,M24,
010551546,FAITHWORKS INC,% BOB BOUTTER,26 W BOSCAWEN STREET A-201,WINCHESTER,VA,22601-4739,0000,03,3,1000,200206,1,15,000000000,1,01,202412,3,4,01,0,12,56933,329503,329503,L122,
010551639,REVELATION KNOWLEDGE CHRISTIAN CHURCH,% PASTOR YVETTE W ROSS,1108 5TH ST NW,WASHINGTON,DC,20001-3606,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010551686,JOE AND MISSY WALSH FOUNDATION,% JOSEPH WALSH,11600 PARTRIDGE RUN LN,POTOMAC,MD,20854-1218,0000,03,3,1000,200205,1,04,000000000,1,01,202512,6,4,00,1,12,1430913,262172,,T90,
010551710,DOWNERS GROVE JR WOMANS CLUB CHARITY FUND INC,% KHRISTINE BURZYNSKI,PO BOX 344,DOWNERS GROVE,IL,60515-0344,0000,03,3,2000,200206,1,16,000000000,1,01,202505,3,4,01,0,05,79279,175020,175020,B82,
010551722,LIVING HOPE,,24550 TERRITORIAL RD,ROGERS,MN,55374-9592,2273,03,9,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010551997,J FOUNDATION INC,% JAMES PANETTA,125 WALNUT HILL LN,HAVERTOWN,PA,19083-2839,0000,03,3,1000,200206,1,16,000000000,1,01,202412,4,4,01,0,12,118521,143978,105257,T20,
010552134,COLUMBIA HEIGHTS PUBLIC LIBRARY FOUNDATION,% SHARON SHEDLOV,3939 CENTRAL AVE NE,COLUMBIA HTS,MN,55421-3932,0000,03,3,1000,200205,1,15,000000000,1,01,202512,6,5,01,0,12,1095254,700758,205943,B11,
010552288,FG FOUNDATION,% COLUMBUS FOUNDATION,1234 E BROAD ST,COLUMBUS,OH,43205-1405,0000,03,3,1000,200207,1,17,000000000,1,01,202412,8,4,01,0,12,10393237,356097,356097,T20,
010552493,DELIVERANCE TEMPLE OF GOD MINISTRY INC,% ELDER RONNIE L HARRIS,2499 D HIGHWAY 117 SOUTH,GOLDSBORO,NC,27530-0000,0000,03,3,1700,200402,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010552565,PATAPSCO VALLEY COMMUNITY CHURCH,,PO BOX 797,CROWNSVILLE,MD,21032-0797,1601,03,9,7000,196310,1,10,029002000,5,01,,0,0,06,0,12,,,,,
010552610,NATIONAL TRIBAL CHILDS SUPPORT ASSOCIATION,% JEN TROCCHIANO,PO BOX 12765,GREEN BAY,WI,54307-2765,0000,04,3,1000,201305,2,00,000000000,1,01,202508,4,4,01,0,08,224702,253765,253765,I72,
010552691,FULCRUM POINT NEW MUSIC PROJECT,% S BURNS,1235A N CLYBOURN AVE STE 135,CHICAGO,IL,60610-1707,0000,03,3,1000,200203,1,15,000000000,1,01,202412,4,4,01,0,12,154348,284492,284492,A68,
010552737,COVENANT MERCIES,% DOUGLAS J HAYES,1 FELLOWSHIP RD,GLEN MILLS,PA,19342-2279,0000,03,3,7120,200208,1,15,000000000,1,01,,0,0,13,0,08,,,,P80,
010552793,LATINAS UNIDAS POR UN NUEVO AMANECER,% DBA LUNA,100 E EUCLID AVE STE 153,DES MOINES,IA,50313-4541,0000,03,3,1000,200208,1,15,000000000,1,01,202506,4,6,01,0,06,398872,1458448,1458448,P43,L U N A
010552985,PALMETTO INNOCENCE PROJECT,% JOSEPH M MCCULLOCH,PO BOX 11623,COLUMBIA,SC,29211-1623,0000,03,3,1200,200202,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,I80,
010553265,LIGHTHOUSE CHRISTIAN MINISTRIES,% REGINA J WOOTEN,602 LINDSEY ST STE 100,REIDSVILLE,NC,27320-3614,0000,03,3,7120,200309,1,10,000000000,1,01,,0,0,06,0,11,,,,X212,
010553317,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,1,16,350000000,1,01,,0,0,01,0,08,,,,,SAN ANGELO CHAPTER TX
010553362,NATIONAL WILD TURKEY FEDERATION INC,% CRAIG MILLER,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,HIGHLAND LAKES CHAPTER TX
010553420,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,MID-CITIES THUNDERGOBBLERS TX
010553641,SOUTH CAROLINA UNITED METHODIST CAMPS AND RETREAT MINISTRIES,,5 CENTURY DR STE 250,GREENVILLE,SC,29607-1572,2573,03,9,7100,197410,1,10,001919000,5,01,202412,7,6,06,0,12,7432467,2292456,2292456,,
010553856,BACK TO LIFE ECCLESIASTIC CHURCH OF GOD,% JACQUELINE PATRICIA SELLERS,PO BOX 212,HAMER,SC,29547-0212,0000,03,3,7000,201410,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010554223,POTTERS CHRISTIAN LIFE MINISTRIES,% GREGORY A FORMEY,PO BOX 21685,COLUMBIA,SC,29221-1685,0000,03,3,7000,200501,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010554275,CCCP COMMUNITY TRUST,% ROBERT KRUMBINE,200 S TRYON ST STE 1600,CHARLOTTE,NC,28202-0064,0000,03,3,1200,200210,1,15,000000000,1,01,202506,7,8,01,0,06,7137798,12249929,12230139,A60,
010554374,PENINSULA COMMUNITY FOUNDATION,% PETER GALLOWAY,19101 PENINSULA CLUB DR,CORNELIUS,NC,28031-5123,0000,03,3,1000,200201,1,15,000000000,1,01,202412,4,5,01,0,12,281705,641959,546106,T31,
010554421,STRIKE PERCUSSION ENSEMBLE,,7505 ORLEE ST SE,ALTO,MI,49302-9721,0000,03,3,2000,201704,1,15,000000000,1,01,202508,0,0,02,0,08,0,0,0,B11,
010554700,PEACE CORPS FOUNDATION,% BONNIE GOTTLIEB,3601 CONNECTICUT AVE NW APT 504,WASHINGTON,DC,20008-2465,0000,03,3,1200,200202,1,15,000000000,1,01,202512,6,6,01,0,12,4744093,1181413,1181413,A80,
010554843,JEFFERSON COUNTY SEARCH DOG ASSOCIATION,% HOLLY HATFIELD,8004 SMYRNA PKWY,LOUISVILLE,KY,40228-1808,0000,03,3,1200,200204,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P80,
010554985,UNVEILING GLORY IN WORSHIP MINISTRY INC,% FREDERICK R BEST,210 E FIRE TOWER RD,WINTERVILLE,NC,28590-9473,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010555559,ECS MINISTRIES,% RICK VOLGARINO,PO BOX 1028,DUBUQUE,IA,52004-1028,0000,03,3,2700,200212,1,16,000000000,1,01,202506,6,5,01,0,06,1466747,832783,715543,X83,
010555950,IOWA PRESBYTERY,% MR KURT BURKUM,602 RANDALL DR,SOLON,IA,52333-9422,8534,03,9,7000,197404,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010556591,CHURCH OF THE FOUNDATION,% VICTOR THOMPSON,PO BOX 1496,INDIAN TRAIL,NC,28079-1496,0000,03,3,7000,200501,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010556669,PHI ETA PSI FRATERNITY INC,% EUGENE TOLBERT,250 E BOULEVARD DR,FLINT,MI,48502-9998,0000,07,3,1000,202203,0,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,,
010556920,WINTERSET GIRLS FASTPITCH INC,% JEFF OLSON,1500 W WASHINGTON ST,WINTERSET,IA,50273-1750,0000,03,3,1000,200205,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,O50,
010557030,LINDSAY FAMILY FOUNDATION,,PO BOX 64193,SAINT PAUL,MN,55164-0193,0000,03,3,1000,200202,1,04,000000000,1,01,202512,3,3,00,1,12,37008,98298,,T21,LINDSAY JEAN M TTEE
010557037,SHARE AND CARE COCKAYNE SYNDROME NETWORK INC,,PO BOX 282,WATERFORD,VA,20197-0282,0000,03,3,1000,200205,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,G20,
010557108,BATH-HIGHLAND COUNTY VOLUNTEER FIRE DEPARTMENT,% JUDITH A DAVIS,PO BOX 102,WILLIAMSVILLE,VA,24487-0102,0000,03,3,1000,200205,1,15,000000000,1,01,202412,5,4,01,0,12,594484,107838,107838,M24,
010557144,AUGUSTA ART GUILD,% PRESIDENT,116 MAIN ST,AUGUSTA,KY,41002-1035,0000,03,3,1000,201407,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,A40,
010557195,FRIENDS OF LUCAS COUNTY CHILDREN SERVICES,% CLARE ARMBRUSTER,PO BOX 441,MAUMEE,OH,43537-0441,0000,03,3,1000,200203,1,15,000000000,1,01,202505,4,3,02,0,05,186663,32911,32911,P80,
010557303,GREATER ROCHELLE AREA CHRISTIAN EDUCATORS,% DENEEN DALE,10264 IL ROUTE 64,SYCAMORE,IL,60178-8538,0000,03,3,1200,200508,1,16,000000000,1,01,202606,0,0,02,0,06,0,0,0,B94,
010557352,CHILDRENS FELLOWSHIP OF INDIA INC,%,659 HARDING AVE,LANGHORNE,PA,19047-5862,0000,03,3,1000,200306,1,15,000000000,1,01,202412,6,6,01,0,12,1720625,1236164,458750,Q33,
010557631,KENTUCKY ALPACA ASSOCIATION INC,%MARTHA SANDERS,920 GALLOWAY RD,STAMPING GRD,KY,40379-9743,0000,05,3,1000,200204,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,K26,KY CLASSIC ALPACA SHOW
010557727,NABOB TELECOMMUNICATIONS EDUCATION AND MANAGEMENT FOUNDATION,% JAMES L WINSTON,1201 CONNECTICUT AVE NW STE 200,WASHINGTON,DC,20036-2632,0000,03,3,2000,202406,1,15,000000000,1,01,201912,0,0,01,0,12,0,0,0,B60,
010557782,GRACE AND MERCY MINISTRIES,% KATHLEEN CWIENKALA,2068 SPRING VALLEY RD,LANSDALE,PA,19446-5114,0000,03,3,7000,202604,1,15,000000000,1,01,,0,0,02,0,12,,,,P40,
010557881,GRANDIN THEATRE FOUNDATION INC,% EDWARD B WALKER,1310 GRANDIN RD SW,ROANOKE,VA,24015-2316,0000,03,3,2000,200206,1,15,000000000,1,01,202412,6,6,01,0,12,2768104,1233438,1233438,A80,
010558086,VICTORY NEW TESTAMENT FELLOWSHIP INTERNATIONAL,% DAVID WASSON,5573 BIRCH AVE,PORTAGE,IN,46368-4717,3914,03,9,7000,200211,0,10,000000000,1,01,,0,0,06,0,12,,,,X20,MISSIONS UNLIMITED INTERNATIONAL
010558146,CATHOLIC DAUGHTERS OF THE AMERICAS,,1412 FIR RD,PANAMA,IA,51562-6401,0928,03,9,1700,194603,1,10,031150120,5,01,,0,0,13,0,07,,,,,2498 COURT ST MARIA GORETTI
010558182,JCPE INVESTMENTS N F P,% JOHN G SAHN,2724 W RESERVOIR BLVD,PEORIA,IL,61615-4137,0000,02,3,1000,200206,2,00,000000000,1,01,202503,9,7,01,0,03,73791941,5061207,2979418,S47,
010559354,GREATER METROPOLITAN RESTORATION CENTER,% RALPH GRAVES,900 16TH ST,GREENSBORO,NC,27405-4810,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010559608,ALLIED MEDIA PROJECTS INC,% MIKE HEDOW,4731 GRAND RIVER AVE,DETROIT,MI,48208-2250,0000,03,3,1000,200207,1,15,000000000,1,01,202412,8,8,01,0,12,28940421,20340283,20340283,A02,
010560022,MAAVIVA - THE INSTITUTE FOR INTERCONNECTEDNESS INC,% DANA BURNS,N9565 TAMARACK RD,EAGLE,WI,53119-1917,0000,03,3,2000,200206,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,D50,BURNS DENA
010560081,NATIONAL NURSE-LED CARE CONSORTIUM,% ADJOA MARFO CONTROLLER,1500 MARKET ST - CENTRE SQUARE EAST,PHILADELPHIA,PA,19102-0000,0000,03,3,1200,200210,1,15,000000000,1,01,202506,8,8,01,0,06,21596601,20542096,20542096,E02,NATIONAL NURSING CENTERS CONSORTIUM
010560106,KEYSTONE MOTHERS OF TWINS CLUB INC,% LISA STROHL,PO BOX 1273,MECHANICSBURG,PA,17055-1273,0000,03,3,1200,202512,1,16,000000000,1,01,202105,0,0,02,0,05,0,0,0,P40,KEYSTON MOTHERS OF MULTIPLES
010560112,METROPOLITAN SCHOOL OF THE ARTS,% METR,5775 BARCLAY DR STE 4,ALEXANDRIA,VA,22315-5710,0000,03,3,2000,200901,1,15,000000000,1,01,202506,6,6,01,0,06,3503968,3174221,3174221,A60,
010560556,ELMWOOD WESLEYAN CHURCH,,309 LINDEN ST,CINCINNATI,OH,45216-2316,2079,03,9,7200,197005,1,10,601030000,5,01,,0,0,06,0,12,,,,,
010560598,CHILD DEVELOPMENT CENTER CORPORATION,% AUTUMN H MCFANN,2201 LEXINGTON AVE,ASHLAND,KY,41101-2843,0000,03,3,1000,201410,1,16,000000000,1,01,202506,6,5,01,0,06,1371396,686415,686415,P33,
010561393,ROBERT HAYWOOD MORRISON FOUNDATION,,PO BOX 11533,CHARLOTTE,NC,28220-1533,0000,03,3,1000,200203,1,04,000000000,1,01,202511,8,6,00,1,11,18424195,4655198,,T22,
010561554,SHEPHERDS CROOK MINISTRIES INC,% SCOTT ROSENOW,6515 TAYLOR TRACE LN,FAIRFIELD TWP,OH,45011-7175,0000,03,3,1000,200207,1,15,000000000,1,01,202412,3,4,01,0,12,92222,397678,397678,P30,
010561556,TEAM RICHMOND AAU BASKETBALL ASSN,% MIKE ADAMIK,151 BUTTONBUSH,RICHMOND,VA,23238-4073,0000,03,3,2000,202204,1,16,000000000,1,01,202508,2,3,01,0,08,11055,64374,64374,N62,
010561621,SQUIRREL HILL BASEBALL ASSOCIATION,% RANDY FRANKEL,425 KURT DR,PITTSBURGH,PA,15243-1931,0000,03,3,1200,200411,1,16,000000000,1,01,202412,1,3,01,0,12,519,98029,98029,N63,
010561825,ABINGDON FEEDER CATTLE ASSOCIATION,% GLENN WHEELER,234 W VALLEY ST,ABINGDON,VA,24210-2707,0000,05,3,1000,200402,2,00,000000000,1,01,202512,4,4,01,0,12,250660,253192,253192,K26,
010561836,KREATIVE MINDS INCORPORATED,,1432 S HANCOCK AVE,DOVER,DE,19901-4058,0000,03,3,1000,202605,1,15,000000000,1,01,201912,1,0,02,0,12,289,0,0,A01,
